Index,O3,NO,NO2,PM25,M_DIR,M_SPED,M_T,Datetime
2015-01-01 01:00:00,25.79176,36.69889,47.26999,11.653700828552246,206.7,5.0,6.6,01/01/2015 01:00:00
2015-01-01 02:00:00,30.56548,6.18702,31.19798,8.189210891723633,223.1,6.1,7.9,01/01/2015 02:00:00
2015-01-01 03:00:00,35.48105,5.41983,26.29018,6.8,220.7,5.5,8.6,01/01/2015 03:00:00
2015-01-01 04:00:00,33.5572,4.39237,25.17854,6.3,223.8,6.3,9.4,01/01/2015 04:00:00
2015-01-01 05:00:00,32.00754,2.72785,26.66694,5.1,223.0,6.9,10.0,01/01/2015 05:00:00
2015-01-01 06:00:00,33.77123,2.23173,22.22086,6.8,219.8,6.6,9.8,01/01/2015 06:00:00
2015-01-01 07:00:00,42.16016,1.34584,16.46854,7.1,216.9,6.2,9.4,01/01/2015 07:00:00
2015-01-01 08:00:00,37.67133,3.64866,23.46351,4.8,218.6,7.1,9.6,01/01/2015 08:00:00
2015-01-01 09:00:00,37.93826,3.86102,23.1379,6.0,222.1,7.6,10.2,01/01/2015 09:00:00
2015-01-01 10:00:00,40.34357,2.72722,22.07694,5.2,220.4,8.1,10.7,01/01/2015 10:00:00
2015-01-01 11:00:00,46.32768,2.26697,22.16683,4.4,213.5,7.9,10.9,01/01/2015 11:00:00
2015-01-01 12:00:00,53.64891,1.94828,19.46399,4.5,209.4,7.6,10.8,01/01/2015 12:00:00
2015-01-01 13:00:00,52.41906,2.51487,22.06643,8.2,207.3,8.7,11.1,01/01/2015 13:00:00
2015-01-01 14:00:00,48.14427,3.08208,26.34756,2.9,214.6,8.7,11.6,01/01/2015 14:00:00
2015-01-01 15:00:00,53.38148,2.62151,19.88761,4.1,216.6,8.0,11.8,01/01/2015 15:00:00
2015-01-01 16:00:00,49.26685,2.79863,23.03128,2.9,212.6,8.3,12.1,01/01/2015 16:00:00
2015-01-01 17:00:00,50.12151,2.51518,21.28182,6.702520847320557,212.7,8.9,12.3,01/01/2015 17:00:00
2015-01-01 18:00:00,49.90797,2.47963,20.83286,6.593968391418457,212.8,9.2,12.2,01/01/2015 18:00:00
2015-01-01 19:00:00,50.8694,2.01907,18.85151,2.8,218.2,8.9,12.2,01/01/2015 19:00:00
2015-01-01 20:00:00,53.91583,1.09794,13.7131,2.5,220.2,8.6,12.4,01/01/2015 20:00:00
2015-01-01 21:00:00,54.50357,0.8859,12.863,3.9,229.6,8.2,13.0,01/01/2015 21:00:00
2015-01-01 22:00:00,51.51151,1.91274,15.99089,3.6,241.4,7.9,13.1,01/01/2015 22:00:00
2015-01-01 23:00:00,56.42742,0.60182,10.10661,0.5,240.7,6.5,12.9,01/01/2015 23:00:00
2015-01-01 00:00:00,58.72497,2.01907,11.01313,3.5,253.9,5.3,12.1,01/01/2015 00:00:00
2015-01-02 01:00:00,67.96157,1.08598,7.13618,4.6,273.5,6.5,9.8,02/01/2015 01:00:00
2015-01-02 02:00:00,70.95645,0.42533,5.09108,5.8,277.0,5.4,8.5,02/01/2015 02:00:00
2015-01-02 03:00:00,71.82973,0.28376,4.82332,3.9,276.2,5.0,7.8,02/01/2015 03:00:00
2015-01-02 04:00:00,73.86235,0.31869,5.10542,3.6,273.5,4.5,7.2,02/01/2015 04:00:00
2015-01-02 05:00:00,71.08135,0.95668,7.25985,5.4,258.6,4.4,6.3,02/01/2015 05:00:00
2015-01-02 06:00:00,64.34187,1.98383,13.01313,4.7,244.0,4.5,5.6,02/01/2015 06:00:00
2015-01-02 07:00:00,58.245,3.08208,19.10492,4.3,235.6,4.7,5.2,02/01/2015 07:00:00
2015-01-02 08:00:00,47.49467,5.24271,31.2316,8.71220588684082,227.7,4.5,4.7,02/01/2015 08:00:00
2015-01-02 09:00:00,43.42992,10.27276,37.3363,6.9,220.8,4.5,4.5,02/01/2015 09:00:00
2015-01-02 10:00:00,42.78781,16.1173,39.39511,4.5,227.2,4.4,5.1,02/01/2015 10:00:00
2015-01-02 11:00:00,41.45019,12.64638,37.3889,6.5,256.1,4.8,6.4,02/01/2015 11:00:00
2015-01-02 12:00:00,44.49912,14.13378,38.24092,5.0,276.4,6.2,7.3,02/01/2015 12:00:00
2015-01-02 13:00:00,49.04582,9.95377,32.17542,8.4,282.9,6.6,7.5,02/01/2015 13:00:00
2015-01-02 14:00:00,50.38244,15.30281,31.63753,6.4,280.7,5.7,7.1,02/01/2015 14:00:00
2015-01-02 15:00:00,48.61775,6.6952,31.91341,9.3,228.0,2.8,6.2,02/01/2015 15:00:00
2015-01-02 16:00:00,41.772,8.89138,42.30737,9.9,223.1,3.9,5.4,02/01/2015 16:00:00
2015-01-02 17:00:00,26.47496,11.26499,56.28918,12.6,247.3,4.3,4.5,02/01/2015 17:00:00
2015-01-02 18:00:00,15.02962,26.99251,73.51411,12.1,258.2,5.6,4.3,02/01/2015 18:00:00
2015-01-02 19:00:00,16.74093,30.60594,64.9528,11.9,269.2,6.2,4.2,02/01/2015 19:00:00
